@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %07s "BOOSTER"
@ PARTICLE         %03s "ION"
@ MASS             %le         185.0943878
@ CHARGE           %le                  31
@ ENERGY           %le         185.7247878
@ PC               %le         15.28935605
@ GAMMA            %le          1.00340583
@ KBUNCH           %le                   1
@ BCURRENT         %le     4.629039444e-06
@ SIGE             %le                0.01
@ SIGT             %le                 0.6
@ NPART            %le  3000000000
@ EX               %le               1e-06
@ EY               %le               1e-06
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le              210.96
@ ALFA             %le       0.04954982345
@ ORBIT5           %le                  -0
@ GAMMATR          %le         4.492405438
@ Q1               %le         4.800137908
@ Q2               %le         4.850495075
@ DQ1              %le        -77.05804345
@ DQ2              %le        -55.38271357
@ DXMAX            %le         56.21288807
@ DYMAX            %le         2.620791234
@ XCOMAX           %le      0.007746554258
@ YCOMAX           %le       0.01283282096
@ BETXMAX          %le         13.47779174
@ BETYMAX          %le         13.06052202
@ XCORMS           %le      0.003605123839
@ YCORMS           %le      0.005100460576
@ DXRMS            %le          25.9925478
@ DYRMS            %le         1.449418834
@ DELTAP           %le                   0
@ SYNCH_1          %le         30.78331191
@ SYNCH_2          %le         1.345855146
@ SYNCH_3          %le       0.09609383269
@ SYNCH_4          %le        0.1569313588
@ SYNCH_5          %le        0.0787625663
@ TITLE            %01s "s"
@ ORIGIN           %18s "5.07.00 Windows 64"
@ DATE             %08s "02/12/21"
@ TIME             %08s "13.30.14"
* NAME               KEYWORD                             S                  X                  Y              HKICK              VKICK 
$ %s                 %s                                %le                %le                %le                %le                %le 
 "ST6.3"             "KICKER"                       153.985    -0.001267146744     0.002747289016                  0                  0
 "BPMH6.3"           "HMONITOR"                      154.25    -0.001232024971     0.002625309467                  0                  0
 "BPMV1.4"           "VMONITOR"                     162.455     0.004419488179     0.005579572767                  0                  0
 "ST1.4"             "KICKER"                       162.775     0.005074348582     0.004943141953                  0                  0
 "BPMH1.4"           "HMONITOR"                      163.04     0.005616654854     0.004416097685                  0                  0
 "BPMV2.4"           "VMONITOR"                     171.245     0.003380832763     0.002168689615                  0                  0
 "ST2.4"             "KICKER"                       171.565     0.003640785193     0.001817703523                  0                  0
 "BPMH2.4"           "HMONITOR"                      171.83       0.0038560583     0.001527043166                  0                  0
 "BPMV3.4"           "VMONITOR"                     180.035    -0.002643057264    -0.001694275741                  0                  0
 "ST3.4"             "KICKER"                       180.355    -0.003163202364    -0.001582817829                  0                  0
 "BPMH3.4"           "HMONITOR"                      180.62    -0.003593947524    -0.001490516745                  0                  0
 "BPMV4.4"           "VMONITOR"                     188.825    -0.005527705322    -0.000991868659                  0                  0
 "ST4.4"             "KICKER"                       189.145    -0.006172577685    -0.000723970121                  0                  0
 "BPMH4.4"           "HMONITOR"                      189.41    -0.006706612611   -0.0005021166442                  0                  0
 "BPMV5.4"           "VMONITOR"                     197.615    -0.001925504072     0.003776832151                  0                  0
 "ST5.4"             "KICKER"                       197.935    -0.001968509666     0.003402322315                  0                  0
 "BPMH5.4"           "HMONITOR"                       198.2    -0.002004123673     0.003092181357                  0                  0
 "BPMV6.4"           "VMONITOR"                     206.405     0.004937950916     0.002758554267                  0                  0
 "ST6.4"             "KICKER"                       206.725     0.005688295982     0.002355519877                  0                  0
 "BPMH6.4"           "HMONITOR"                      206.99     0.006309675489     0.002021757023                  0                  0
