@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %07s "BOOSTER"
@ PARTICLE         %03s "ION"
@ MASS             %le         185.0943878
@ CHARGE           %le                  31
@ ENERGY           %le         185.7247878
@ PC               %le         15.28935605
@ GAMMA            %le          1.00340583
@ KBUNCH           %le                   1
@ BCURRENT         %le     4.629039444e-06
@ SIGE             %le                0.01
@ SIGT             %le                 0.6
@ NPART            %le  3000000000
@ EX               %le               1e-06
@ EY               %le               1e-06
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le              210.96
@ ALFA             %le       0.03899490251
@ ORBIT5           %le                  -0
@ GAMMATR          %le         5.064027793
@ Q1               %le         5.250906638
@ Q2               %le         4.995457516
@ DQ1              %le        -74.60915553
@ DQ2              %le        -67.31798475
@ DXMAX            %le         41.79165473
@ DYMAX            %le         1.963853902
@ XCOMAX           %le      0.005642452774
@ YCOMAX           %le       0.00020454997
@ BETXMAX          %le         13.32886159
@ BETYMAX          %le         14.83864296
@ XCORMS           %le      0.002334708001
@ YCORMS           %le     0.0001071320374
@ DXRMS            %le         19.86749374
@ DYRMS            %le         1.036260727
@ DELTAP           %le                   0
@ SYNCH_1          %le         8.216079184
@ SYNCH_2          %le        0.4486183819
@ SYNCH_3          %le       0.03203127756
@ SYNCH_4          %le       0.04188504715
@ SYNCH_5          %le       0.01459398558
@ TITLE            %01s "s"
@ ORIGIN           %18s "5.07.00 Windows 64"
@ DATE             %08s "02/12/21"
@ TIME             %08s "16.46.55"
* NAME                                S                  X                  Y             BETA11             BETA21             BETA12             BETA22                R11                R12                R21                R22 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "KM2B.1.ERR"                     11.34     0.001267018728   -0.0001729050885        4.390706713     0.001731361706    0.0008005568518        11.83508326     -0.01742408722     -0.05083662186    -0.001886156078     -0.01196968483
 "M2B.1.ERR"                      11.34     0.001267018728   -0.0001729050885        4.390706713     0.001731361706    0.0008005568518        11.83508326     -0.01742786314     -0.05083659939    -0.001897039681     -0.01197346317
 "DRIFT_3"                        12.29     0.001282797344   -0.0001921886192        4.386415816     0.002248516206    0.0006508803492        14.20670714     -0.01923005084      -0.0439428411    -0.001897039681     -0.01017127547
 "QD2.1.ERR"                      12.29     0.001282797344   -0.0001921886192        4.386415816     0.002248516206    0.0006508803492        14.20670714     -0.01881504955     -0.04394280612    -0.001641412424    -0.009756281392
 "QD2.1"                          12.76     0.001419514194   -0.0001827727976        5.479075263     0.002084637003    0.0007216635896        12.72715883    -0.001192644171     -0.03991111031      0.00297693313      0.00618462476
 "QD2.1.ERR"                      12.76     0.001419514194   -0.0001827727976        5.479075263     0.002084637003    0.0007216635896        12.72715883   -0.0008157727583     -0.03991107795     0.002905919954     0.006561490191
 "BPMV2.1"                       13.025     0.001572038637   -0.0001669660074        6.821225734     0.001770606928    0.0008480438146        10.56749408    -4.57039705e-05      -0.0381601715     0.002905919954     0.005791421403
 "ST2.1"                         13.345     0.001756219097   -0.0001478785627          8.6683449     0.001426743546     0.001017166799        8.243183853    0.0008841904147     -0.03658985758     0.002905919954     0.004861527018
 "BPMH2.1"                        13.61     0.001908743541   -0.0001320717726        10.38548555     0.001171249896     0.001170896517        6.553209789     0.001654259203     -0.03573993161     0.002905919954      0.00409145823
 "QF2.1.ERR"                      13.61     0.001908743541   -0.0001320717726        10.38548555     0.001171249896     0.001170896517        6.553209789     0.001161628715     -0.03573990838     0.002960143855     0.003598826159
