@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %01s "s"
@ ORIGIN           %18s "5.07.00 Windows 64"
@ DATE             %08s "02/12/21"
@ TIME             %08s "16.49.15"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "QD2.2.ERR"         "MULTIPOLE"                       65.5                  0                  0       -44.89672649                  0        31.05307234       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV2.2"           "VMONITOR"                      65.765              0.265                  0       -45.14875646                  0        30.97118284       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST2.2"             "KICKER"                        66.085               0.32                  0       -45.45309455                  0         30.8722974       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH2.2"           "HMONITOR"                       66.35              0.265                  0       -45.70512452                  0        30.79040789       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF2.2.ERR"         "MULTIPOLE"                      66.35                  0                  0       -45.70512452                  0        30.79040789       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF2.2"             "QUADRUPOLE"                     66.82               0.47                  0       -46.15212109                  0        30.64516991       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF2.2.ERR"         "MULTIPOLE"                      66.82                  0                  0       -46.15212109                  0        30.64516991       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_22"          "DRIFT"                         67.135              0.315                  0       -46.45170389                  0        30.54782955       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "MC3.2"             "SEXTUPOLE"                     67.455               0.32                  0       -46.75604197                  0        30.44894411       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_23"          "DRIFT"                          67.77              0.315                  0       -47.05562478                  0        30.35160376       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3A.2.ERR"         "MULTIPOLE"                      67.77                  0                  0       -47.05562478                  0        30.35160376       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM3A.2.ERR"        "KICKER"                         67.77                  0                  0       -47.05562478                  0        30.35160376       -1.884955592                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3A.2"             "SBEND"                          69.97                2.2       0.1570796327       -49.08607078                  0        29.51056549       -2.042035225                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM3A.2.ERR"        "KICKER"                         69.97                  0                  0       -49.08607078                  0        29.51056549       -2.042035225                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3A.2.ERR"         "MULTIPOLE"                      69.97                  0                  0       -49.08607078                  0        29.51056549       -2.042035225                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_24"          "DRIFT"                          70.67                0.7                  0       -49.70977534                  0        29.19277214       -2.042035225                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3B.2.ERR"         "MULTIPOLE"                      70.67                  0                  0       -49.70977534                  0        29.19277214       -2.042035225                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM3B.2.ERR"        "KICKER"                         70.67                  0                  0       -49.70977534                  0        29.19277214       -2.042035225                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3B.2"             "SBEND"                          72.87                2.2       0.1570796327       -51.58365581                  0        28.04445671       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM3B.2.ERR"        "KICKER"                         72.87                  0                  0       -51.58365581                  0        28.04445671       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3B.2.ERR"         "MULTIPOLE"                      72.87                  0                  0       -51.58365581                  0        28.04445671       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_25"          "DRIFT"                          73.82               0.95                  0       -52.35222196                  0        27.48606072       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD3.2.ERR"         "MULTIPOLE"                      73.82                  0                  0       -52.35222196                  0        27.48606072       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD3.2"             "QUADRUPOLE"                     74.29               0.47                  0       -52.73245994                  0        27.20980165       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD3.2.ERR"         "MULTIPOLE"                      74.29                  0                  0       -52.73245994                  0        27.20980165       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV3.2"           "VMONITOR"                      74.555              0.265                  0       -52.94684945                  0        27.05403856       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST3.2"             "KICKER"                        74.875               0.32                  0       -53.20573489                  0        26.86594728       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH3.2"           "HMONITOR"                       75.14              0.265                  0       -53.42012439                  0        26.71018419       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF3.2.ERR"         "MULTIPOLE"                      75.14                  0                  0       -53.42012439                  0        26.71018419       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF3.2"             "QUADRUPOLE"                     75.61               0.47                  0       -53.80036238                  0        26.43392512       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF3.2.ERR"         "MULTIPOLE"                      75.61                  0                  0       -53.80036238                  0        26.43392512       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_26"          "DRIFT"                          76.56               0.95                  0       -54.56892852                  0        25.87552913       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4A.2.ERR"         "MULTIPOLE"                      76.56                  0                  0       -54.56892852                  0        25.87552913       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM4A.2.ERR"        "KICKER"                         76.56                  0                  0       -54.56892852                  0        25.87552913       -2.199114858                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4A.2"             "SBEND"                          78.76                2.2       0.1570796327        -56.2401023                  0        24.44821188        -2.35619449                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM4A.2.ERR"        "KICKER"                         78.76                  0                  0        -56.2401023                  0        24.44821188        -2.35619449                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4A.2.ERR"         "MULTIPOLE"                      78.76                  0                  0        -56.2401023                  0        24.44821188        -2.35619449                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_27"          "DRIFT"                          79.46                0.7                  0       -56.73507705                  0        23.95323714        -2.35619449                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4B.2.ERR"         "MULTIPOLE"                      79.46                  0                  0       -56.73507705                  0        23.95323714        -2.35619449                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM4B.2.ERR"        "KICKER"                         79.46                  0                  0       -56.73507705                  0        23.95323714        -2.35619449                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4B.2"             "SBEND"                          81.66                2.2       0.1570796327        -58.1623943                  0        22.28206336       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM4B.2.ERR"        "KICKER"                         81.66                  0                  0        -58.1623943                  0        22.28206336       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4B.2.ERR"         "MULTIPOLE"                      81.66                  0                  0        -58.1623943                  0        22.28206336       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_28"          "DRIFT"                         81.975              0.315                  0       -58.34754665                  0          22.027223       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "MC4.2"             "SEXTUPOLE"                     82.295               0.32                  0       -58.53563793                  0        21.76833757       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_29"          "DRIFT"                          82.61              0.315                  0       -58.72079029                  0        21.51349721       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD4.2.ERR"         "MULTIPOLE"                      82.61                  0                  0       -58.72079029                  0        21.51349721       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD4.2"             "QUADRUPOLE"                     83.08               0.47                  0       -58.99704935                  0        21.13325923       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD4.2.ERR"         "MULTIPOLE"                      83.08                  0                  0       -58.99704935                  0        21.13325923       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV4.2"           "VMONITOR"                      83.345              0.265                  0       -59.15281245                  0        20.91886972       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST4.2"             "KICKER"                        83.665               0.32                  0       -59.34090373                  0        20.65998428       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH4.2"           "HMONITOR"                       83.93              0.265                  0       -59.49666682                  0        20.44559478       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF4.2.ERR"         "MULTIPOLE"                      83.93                  0                  0       -59.49666682                  0        20.44559478       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF4.2"             "QUADRUPOLE"                      84.4               0.47                  0       -59.77292589                  0        20.06535679       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF4.2.ERR"         "MULTIPOLE"                       84.4                  0                  0       -59.77292589                  0        20.06535679       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_30"          "DRIFT"                          85.35               0.95                  0       -60.33132188                  0        19.29679065       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5A.2.ERR"         "MULTIPOLE"                      85.35                  0                  0       -60.33132188                  0        19.29679065       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM5A.2.ERR"        "KICKER"                         85.35                  0                  0       -60.33132188                  0        19.29679065       -2.513274123                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5A.2"             "SBEND"                          87.55                2.2       0.1570796327       -61.47963731                  0        17.42291018       -2.670353756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM5A.2.ERR"        "KICKER"                         87.55                  0                  0       -61.47963731                  0        17.42291018       -2.670353756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5A.2.ERR"         "MULTIPOLE"                      87.55                  0                  0       -61.47963731                  0        17.42291018       -2.670353756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_31"          "DRIFT"                          88.25                0.7                  0       -61.79743065                  0        16.79920561       -2.670353756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5B.2.ERR"         "MULTIPOLE"                      88.25                  0                  0       -61.79743065                  0        16.79920561       -2.670353756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM5B.2.ERR"        "KICKER"                         88.25                  0                  0       -61.79743065                  0        16.79920561       -2.670353756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5B.2"             "SBEND"                          90.45                2.2       0.1570796327       -62.63846893                  0        14.76875961       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM5B.2.ERR"        "KICKER"                         90.45                  0                  0       -62.63846893                  0        14.76875961       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5B.2.ERR"         "MULTIPOLE"                      90.45                  0                  0       -62.63846893                  0        14.76875961       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_32"          "DRIFT"                           91.4               0.95                  0       -62.93203507                  0        13.86525592       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD5.2.ERR"         "MULTIPOLE"                       91.4                  0                  0       -62.93203507                  0        13.86525592       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD5.2"             "QUADRUPOLE"                     91.87               0.47                  0       -63.07727306                  0        13.41825936       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD5.2.ERR"         "MULTIPOLE"                      91.87                  0                  0       -63.07727306                  0        13.41825936       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV5.2"           "VMONITOR"                      92.135              0.265                  0       -63.15916256                  0        13.16622938       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST5.2"             "KICKER"                        92.455               0.32                  0         -63.258048                  0         12.8618913       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH5.2"           "HMONITOR"                       92.72              0.265                  0        -63.3399375                  0        12.60986132       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF5.2.ERR"         "MULTIPOLE"                      92.72                  0                  0        -63.3399375                  0        12.60986132       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF5.2"             "QUADRUPOLE"                     93.19               0.47                  0       -63.48517549                  0        12.16286476       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF5.2.ERR"         "MULTIPOLE"                      93.19                  0                  0       -63.48517549                  0        12.16286476       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_33"          "DRIFT"                          94.14               0.95                  0       -63.77874163                  0        11.25936107       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M6A.2.ERR"         "MULTIPOLE"                      94.14                  0                  0       -63.77874163                  0        11.25936107       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM6A.2.ERR"        "KICKER"                         94.14                  0                  0       -63.77874163                  0        11.25936107       -2.827433388                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M6A.2"             "SBEND"                          96.34                2.2       0.1570796327        -64.2917936                  0        9.122345856       -2.984513021                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM6A.2.ERR"        "KICKER"                         96.34                  0                  0        -64.2917936                  0        9.122345856       -2.984513021                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M6A.2.ERR"         "MULTIPOLE"                      96.34                  0                  0        -64.2917936                  0        9.122345856       -2.984513021                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_34"          "DRIFT"                          97.04                0.7                  0       -64.40129772                  0        8.430964018       -2.984513021                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M6B.2.ERR"         "MULTIPOLE"                      97.04                  0                  0       -64.40129772                  0        8.430964018       -2.984513021                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM6B.2.ERR"        "KICKER"                         97.04                  0                  0       -64.40129772                  0        8.430964018       -2.984513021                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M6B.2"             "SBEND"                          99.24                2.2       0.1570796327       -64.57373033                  0               6.24       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM6B.2.ERR"        "KICKER"                         99.24                  0                  0       -64.57373033                  0               6.24       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M6B.2.ERR"         "MULTIPOLE"                      99.24                  0                  0       -64.57373033                  0               6.24       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_35"          "DRIFT"                         100.19               0.95                  0       -64.57373033                  0               5.29       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD6.2.ERR"         "MULTIPOLE"                     100.19                  0                  0       -64.57373033                  0               5.29       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD6.2"             "QUADRUPOLE"                    100.66               0.47                  0       -64.57373033                  0               4.82       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD6.2.ERR"         "MULTIPOLE"                     100.66                  0                  0       -64.57373033                  0               4.82       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV6.2"           "VMONITOR"                     100.925              0.265                  0       -64.57373033                  0              4.555       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST6.2"             "KICKER"                       101.245               0.32                  0       -64.57373033                  0              4.235       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH6.2"           "HMONITOR"                      101.51              0.265                  0       -64.57373033                  0               3.97       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF6.2.ERR"         "MULTIPOLE"                     101.51                  0                  0       -64.57373033                  0               3.97       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF6.2"             "QUADRUPOLE"                    101.98               0.47                  0       -64.57373033                  0                3.5       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF6.2.ERR"         "MULTIPOLE"                     101.98                  0                  0       -64.57373033                  0                3.5       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_36"          "DRIFT"                         108.98                  7                  0       -64.57373033                  0               -3.5       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD1.3.ERR"         "MULTIPOLE"                     108.98                  0                  0       -64.57373033                  0               -3.5       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD1.3"             "QUADRUPOLE"                    109.45               0.47                  0       -64.57373033                  0              -3.97       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD1.3.ERR"         "MULTIPOLE"                     109.45                  0                  0       -64.57373033                  0              -3.97       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV1.3"           "VMONITOR"                     109.715              0.265                  0       -64.57373033                  0             -4.235       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST1.3"             "KICKER"                       110.035               0.32                  0       -64.57373033                  0             -4.555       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH1.3"           "HMONITOR"                       110.3              0.265                  0       -64.57373033                  0              -4.82       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF1.3.ERR"         "MULTIPOLE"                      110.3                  0                  0       -64.57373033                  0              -4.82       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF1.3"             "QUADRUPOLE"                    110.77               0.47                  0       -64.57373033                  0              -5.29       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF1.3.ERR"         "MULTIPOLE"                     110.77                  0                  0       -64.57373033                  0              -5.29       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_37"          "DRIFT"                         111.72               0.95                  0       -64.57373033                  0              -6.24       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2A.3.ERR"         "MULTIPOLE"                     111.72                  0                  0       -64.57373033                  0              -6.24       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM2A.3.ERR"        "KICKER"                        111.72                  0                  0       -64.57373033                  0              -6.24       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2A.3"             "SBEND"                         113.92                2.2       0.1570796327       -64.40129772                  0       -8.430964018       -3.298672286                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM2A.3.ERR"        "KICKER"                        113.92                  0                  0       -64.40129772                  0       -8.430964018       -3.298672286                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2A.3.ERR"         "MULTIPOLE"                     113.92                  0                  0       -64.40129772                  0       -8.430964018       -3.298672286                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_38"          "DRIFT"                         114.62                0.7                  0        -64.2917936                  0       -9.122345856       -3.298672286                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2B.3.ERR"         "MULTIPOLE"                     114.62                  0                  0        -64.2917936                  0       -9.122345856       -3.298672286                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM2B.3.ERR"        "KICKER"                        114.62                  0                  0        -64.2917936                  0       -9.122345856       -3.298672286                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2B.3"             "SBEND"                         116.82                2.2       0.1570796327       -63.77874163                  0       -11.25936107       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM2B.3.ERR"        "KICKER"                        116.82                  0                  0       -63.77874163                  0       -11.25936107       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2B.3.ERR"         "MULTIPOLE"                     116.82                  0                  0       -63.77874163                  0       -11.25936107       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_39"          "DRIFT"                         117.77               0.95                  0       -63.48517549                  0       -12.16286476       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD2.3.ERR"         "MULTIPOLE"                     117.77                  0                  0       -63.48517549                  0       -12.16286476       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD2.3"             "QUADRUPOLE"                    118.24               0.47                  0        -63.3399375                  0       -12.60986132       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD2.3.ERR"         "MULTIPOLE"                     118.24                  0                  0        -63.3399375                  0       -12.60986132       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV2.3"           "VMONITOR"                     118.505              0.265                  0         -63.258048                  0        -12.8618913       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST2.3"             "KICKER"                       118.825               0.32                  0       -63.15916256                  0       -13.16622938       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH2.3"           "HMONITOR"                      119.09              0.265                  0       -63.07727306                  0       -13.41825936       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF2.3.ERR"         "MULTIPOLE"                     119.09                  0                  0       -63.07727306                  0       -13.41825936       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF2.3"             "QUADRUPOLE"                    119.56               0.47                  0       -62.93203507                  0       -13.86525592       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF2.3.ERR"         "MULTIPOLE"                     119.56                  0                  0       -62.93203507                  0       -13.86525592       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_40"          "DRIFT"                        119.875              0.315                  0       -62.83469472                  0       -14.16483873       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "MC3.3"             "SEXTUPOLE"                    120.195               0.32                  0       -62.73580928                  0       -14.46917681       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_41"          "DRIFT"                         120.51              0.315                  0       -62.63846893                  0       -14.76875961       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3A.3.ERR"         "MULTIPOLE"                     120.51                  0                  0       -62.63846893                  0       -14.76875961       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM3A.3.ERR"        "KICKER"                        120.51                  0                  0       -62.63846893                  0       -14.76875961       -3.455751919                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3A.3"             "SBEND"                         122.71                2.2       0.1570796327       -61.79743065                  0       -16.79920561       -3.612831552                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM3A.3.ERR"        "KICKER"                        122.71                  0                  0       -61.79743065                  0       -16.79920561       -3.612831552                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3A.3.ERR"         "MULTIPOLE"                     122.71                  0                  0       -61.79743065                  0       -16.79920561       -3.612831552                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_42"          "DRIFT"                         123.41                0.7                  0       -61.47963731                  0       -17.42291018       -3.612831552                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3B.3.ERR"         "MULTIPOLE"                     123.41                  0                  0       -61.47963731                  0       -17.42291018       -3.612831552                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM3B.3.ERR"        "KICKER"                        123.41                  0                  0       -61.47963731                  0       -17.42291018       -3.612831552                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3B.3"             "SBEND"                         125.61                2.2       0.1570796327       -60.33132188                  0       -19.29679065       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM3B.3.ERR"        "KICKER"                        125.61                  0                  0       -60.33132188                  0       -19.29679065       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3B.3.ERR"         "MULTIPOLE"                     125.61                  0                  0       -60.33132188                  0       -19.29679065       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_43"          "DRIFT"                         126.56               0.95                  0       -59.77292589                  0       -20.06535679       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD3.3.ERR"         "MULTIPOLE"                     126.56                  0                  0       -59.77292589                  0       -20.06535679       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD3.3"             "QUADRUPOLE"                    127.03               0.47                  0       -59.49666682                  0       -20.44559478       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD3.3.ERR"         "MULTIPOLE"                     127.03                  0                  0       -59.49666682                  0       -20.44559478       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV3.3"           "VMONITOR"                     127.295              0.265                  0       -59.34090373                  0       -20.65998428       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST3.3"             "KICKER"                       127.615               0.32                  0       -59.15281245                  0       -20.91886972       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH3.3"           "HMONITOR"                      127.88              0.265                  0       -58.99704935                  0       -21.13325923       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF3.3.ERR"         "MULTIPOLE"                     127.88                  0                  0       -58.99704935                  0       -21.13325923       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF3.3"             "QUADRUPOLE"                    128.35               0.47                  0       -58.72079029                  0       -21.51349721       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF3.3.ERR"         "MULTIPOLE"                     128.35                  0                  0       -58.72079029                  0       -21.51349721       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_44"          "DRIFT"                          129.3               0.95                  0        -58.1623943                  0       -22.28206336       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4A.3.ERR"         "MULTIPOLE"                      129.3                  0                  0        -58.1623943                  0       -22.28206336       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM4A.3.ERR"        "KICKER"                         129.3                  0                  0        -58.1623943                  0       -22.28206336       -3.769911184                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4A.3"             "SBEND"                          131.5                2.2       0.1570796327       -56.73507705                  0       -23.95323714       -3.926990817                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM4A.3.ERR"        "KICKER"                         131.5                  0                  0       -56.73507705                  0       -23.95323714       -3.926990817                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4A.3.ERR"         "MULTIPOLE"                      131.5                  0                  0       -56.73507705                  0       -23.95323714       -3.926990817                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_45"          "DRIFT"                          132.2                0.7                  0        -56.2401023                  0       -24.44821188       -3.926990817                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4B.3.ERR"         "MULTIPOLE"                      132.2                  0                  0        -56.2401023                  0       -24.44821188       -3.926990817                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM4B.3.ERR"        "KICKER"                         132.2                  0                  0        -56.2401023                  0       -24.44821188       -3.926990817                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4B.3"             "SBEND"                          134.4                2.2       0.1570796327       -54.56892852                  0       -25.87552913        -4.08407045                  0                  0                  0                  0          0          0                  0                  0 ""                 
